prompt_text,category
"What is 15 percent of 200?",math
"Calculate the square root of 144",math
"Solve for x: 2x + 5 = 15",math
"What is 50 divided by 2?",math
"Add 45 and 90",math
"Subtract 10 from 100",math
"What is the sum of 5 and 10?",math
"Multiply 12 by 12",math
"What is the area of a circle with radius 5?",math
"How much is 1000 minus 342?",math
"Convert 50 kilometers to miles",math
"What is the value of pi?",math
"give me a summary of the Eiffel Tower",summary
"Tell me about Albert Einstein from Wikipedia",summary
"Summarize the history of the Roman Empire",summary
"Who was Napoleon Bonaparte?",summary
"Search Wikipedia for Quantum Physics",summary
"What is the capital of France?",summary
"Explain the process of photosynthesis",summary
"Summarize this link: https://en.wikipedia.org",summary
"Look up the Great Wall of China",summary
"summarize ://www.bbc.com",summary
"Briefly explain the Big Bang theory",summary
"Tell me about the moon landing",summary
"Write a python script to print hello world",code
"How do I make a list in Javascript?",code
"Create a C++ function for sorting arrays",code
"Write a SQL query to select all users",code
"Show me an example of a CSS flexbox",code
"How to use a for loop in Java?",code
"Write a bash script to move files",code
"Generate a React component for a button",code
"What is the syntax for a dictionary in Python?",code
"How to define a class in Ruby?",code
"HTML code for a basic table",code
"Write a function to calculate Fibonacci in Go",code
"How do I use pandas to read a csv?",code
"Code for a simple login form",code
"What is the derivative of x squared?",math
"integral of sin(x)",math
"Find the median of this list: 1, 2, 5, 8, 10",math
"wikipedia search for George Washington",summary
"get summary of https://www.nytimes.com",summary
"research the industrial revolution",summary
"python code for a web scraper",code
"how to declare a variable in swift",code
"write a rust function to parse json",code
"what is 2 to the power of 8?",math
"summarize the plot of Hamlet",summary
"C# code for connecting to a database",code
"What is the square root of 169?",math
"Calculate the volume of a sphere with radius 3",math
"Solve 3x - 7 = 14",math
"What is the sine of 90 degrees?",math
"Convert 100 Fahrenheit to Celsius",math
"What is 12 percent of 500?",math
"Find the average of 10, 20, and 30",math
"What is the remainder of 100 divided by 7?",math
"Multiply 25 by 4",math
"Subtract 450 from 1000",math
"What is the value of 2 to the power of 10?",math
"Calculate the hypotenuse of a triangle with sides 3 and 4",math
"How many minutes are in 3 days?",math
"What is the prime factorization of 60?",math
"Solve for y: y/4 = 12",math
"What is 0.5 times 0.2?",math
"Calculate the perimeter of a rectangle",math
"summarize the biography of Steve Jobs",summary
"Tell me about the history of the internet",summary
"Who wrote the Magna Carta?",summary
"Search Wikipedia for the French Revolution",summary
"Give me a summary of the Milky Way galaxy",summary
"Explain the theory of relativity briefly",summary
"What is the summary of the book 1984?",summary
"Look up the origins of Jazz music",summary
"Summarize the current news on www.cnn.com",summary
"Provide a brief overview of the Renaissance",summary
"Tell me about the life of Marie Curie",summary
"Summarize the main events of World War II",summary
"Get info about the Sahara Desert from Wikipedia",summary
"Explain how a steam engine works",summary
"Summarize this article: https://www.theguardian.com",summary
"Who discovered penicillin?",summary
